"Name","Foreign Born Population"
"Description","The foreign-born population includes anyone who was not a U.S. citizen or a U.S. national at birth. This includes individuals who are U.S. citizens by naturalization or not U.S. citizens.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B05003 (2005-2021); retrieved from&nbsp;<a href=""http://factfinder2.census.gov/"" target=""_blank""></a><a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Percents refer to the percent of the selected age group breakdown.<br />
<br />
Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years. <span style=""background-color: #ffffff; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;""></span>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
New York City,All Ages,2011,Number,3066599,3651000
New York City,Children Under 18 Years,2011,Number,148199,3651000
New York City,All Ages,2005,Number,2915722,3651000
New York City,Children Under 18 Years,2005,Number,185456,3651000
New York City,All Ages,2006,Number,3038139,3651000
New York City,Children Under 18 Years,2006,Number,179648,3651000
New York City,All Ages,2007,Number,3047676,3651000
New York City,Children Under 18 Years,2007,Number,173237,3651000
New York City,All Ages,2008,Number,3040816,3651000
New York City,Children Under 18 Years,2008,Number,169616,3651000
New York City,All Ages,2009,Number,2996580,3651000
New York City,Children Under 18 Years,2009,Number,154475,3651000
New York City,All Ages,2010,Number,3042315,3651000
New York City,Children Under 18 Years,2010,Number,157610,3651000
New York City,All Ages,2012,Number,3136592,3651000
New York City,Children Under 18 Years,2012,Number,152736,3651000
New York City,Children Under 18 Years,2014,Number,147496,3651000
New York City,All Ages,2014,Number,3160471,3651000
New York City,Children Under 18 Years,2015,Number,142132,3651000
New York City,All Ages,2015,Number,3212500,3651000
New York City,Children Under 18 Years,2016,Number,149570,3651000
New York City,All Ages,2016,Number,3200219,3651000
New York City,Children Under 18 Years,2017,Number,144300,3651000
New York City,All Ages,2017,Number,3194940,3651000
New York City,Children Under 18 Years,2018,Number,130459,3651000
New York City,All Ages,2018,Number,3093086,3651000
New York City,Children Under 18 Years,2019,Number,128905,3651000
New York City,All Ages,2019,Number,3021083,3651000
New York City,Children Under 18 Years,2021,Number,132403,3651000
New York City,All Ages,2021,Number,3079776,3651000
New York City,All Ages,2013,Number,3106661,3651000
New York City,Children Under 18 Years,2013,Number,146819,3651000
New York City,Children Under 18 Years,2013,Percent,0.08227,3651000
New York City,All Ages,2013,Percent,0.36958,3651000
New York City,All Ages,2021,Percent,0.36372,3651000
New York City,Children Under 18 Years,2021,Percent,0.07553,3651000
New York City,All Ages,2019,Percent,0.36238,3651000
New York City,Children Under 18 Years,2019,Percent,0.07516,3651000
New York City,All Ages,2018,Percent,0.36828,3651000
New York City,Children Under 18 Years,2018,Percent,0.07501,3651000
New York City,All Ages,2017,Percent,0.37053,3651000
New York City,Children Under 18 Years,2017,Percent,0.08066,3651000
New York City,Children Under 18 Years,2016,Percent,0.08311,3651000
New York City,All Ages,2016,Percent,0.37484,3651000
New York City,All Ages,2015,Percent,0.37571,3651000
New York City,Children Under 18 Years,2015,Percent,0.07876,3651000
New York City,All Ages,2014,Percent,0.37221,3651000
New York City,Children Under 18 Years,2014,Percent,0.08209,3651000
New York City,Children Under 18 Years,2012,Percent,0.08555,3651000
New York City,All Ages,2012,Percent,0.37624,3651000
New York City,All Ages,2010,Percent,0.3717,3651000
New York City,Children Under 18 Years,2010,Percent,0.08928,3651000
New York City,All Ages,2009,Percent,0.35708,3651000
New York City,Children Under 18 Years,2009,Percent,0.08171,3651000
New York City,All Ages,2008,Percent,0.36357,3651000
New York City,Children Under 18 Years,2008,Percent,0.08867,3651000
New York City,All Ages,2007,Percent,0.36832,3651000
New York City,Children Under 18 Years,2007,Percent,0.09129,3651000
New York City,All Ages,2006,Percent,0.36985,3651000
New York City,Children Under 18 Years,2006,Percent,0.09242,3651000
New York City,All Ages,2005,Percent,0.36648,3651000
New York City,Children Under 18 Years,2005,Percent,0.09637,3651000
New York City,All Ages,2011,Percent,0.37194,3651000
New York City,Children Under 18 Years,2011,Percent,0.08348,3651000
Manhattan,All Ages,2005,Percent,0.28022,36061
Manhattan,Children Under 18 Years,2005,Percent,0.07697,36061
Manhattan,All Ages,2006,Percent,0.28721,36061
Manhattan,Children Under 18 Years,2006,Percent,0.07302,36061
Manhattan,All Ages,2011,Percent,0.28798,36061
Manhattan,Children Under 18 Years,2011,Percent,0.0859,36061
Manhattan,All Ages,2007,Percent,0.29103,36061
Manhattan,Children Under 18 Years,2007,Percent,0.06988,36061
Manhattan,All Ages,2008,Percent,0.28075,36061
Manhattan,Children Under 18 Years,2008,Percent,0.08398,36061
Manhattan,All Ages,2009,Percent,0.2703,36061
Manhattan,Children Under 18 Years,2009,Percent,0.05876,36061
Manhattan,All Ages,2010,Percent,0.28472,36061
Manhattan,Children Under 18 Years,2010,Percent,0.07758,36061
Manhattan,Children Under 18 Years,2012,Percent,0.07492,36061
Manhattan,All Ages,2012,Percent,0.28895,36061
Manhattan,Children Under 18 Years,2013,Percent,0.08407,36061
Manhattan,All Ages,2013,Percent,0.28414,36061
Manhattan,Children Under 18 Years,2014,Percent,0.08008,36061
Manhattan,All Ages,2014,Percent,0.29103,36061
Manhattan,Children Under 18 Years,2015,Percent,0.06938,36061
Manhattan,All Ages,2016,Percent,0.29656,36061
Manhattan,All Ages,2015,Percent,0.29172,36061
Manhattan,Children Under 18 Years,2016,Percent,0.09552,36061
Manhattan,Children Under 18 Years,2017,Percent,0.06052,36061
Manhattan,All Ages,2017,Percent,0.28246,36061
Manhattan,Children Under 18 Years,2021,Percent,0.05814,36061
Manhattan,All Ages,2019,Percent,0.27823,36061
Manhattan,Children Under 18 Years,2019,Percent,0.0576,36061
Manhattan,All Ages,2018,Percent,0.29223,36061
Manhattan,Children Under 18 Years,2018,Percent,0.06154,36061
Manhattan,All Ages,2021,Percent,0.28094,36061
Manhattan,All Ages,2021,Number,443003,36061
Manhattan,Children Under 18 Years,2021,Number,13472,36061
Manhattan,Children Under 18 Years,2018,Number,14337,36061
Manhattan,All Ages,2018,Number,475954,36061
Manhattan,Children Under 18 Years,2019,Number,13355,36061
Manhattan,All Ages,2019,Number,453153,36061
Manhattan,All Ages,2016,Number,487464,36061
Manhattan,Children Under 18 Years,2017,Number,14498,36061
Manhattan,All Ages,2017,Number,470212,36061
Manhattan,Children Under 18 Years,2016,Number,22995,36061
Manhattan,All Ages,2015,Number,479736,36061
Manhattan,Children Under 18 Years,2015,Number,16666,36061
Manhattan,All Ages,2014,Number,476201,36061
Manhattan,Children Under 18 Years,2014,Number,19265,36061
Manhattan,All Ages,2013,Number,462054,36061
Manhattan,Children Under 18 Years,2013,Number,20038,36061
Manhattan,All Ages,2012,Number,467833,36061
Manhattan,Children Under 18 Years,2012,Number,18049,36061
Manhattan,All Ages,2010,Number,451770,36061
Manhattan,Children Under 18 Years,2010,Number,18172,36061
Manhattan,All Ages,2009,Number,440339,36061
Manhattan,Children Under 18 Years,2009,Number,15283,36061
Manhattan,All Ages,2008,Number,458971,36061
Manhattan,Children Under 18 Years,2008,Number,23286,36061
Manhattan,All Ages,2007,Number,471714,36061
Manhattan,Children Under 18 Years,2007,Number,19100,36061
Manhattan,All Ages,2006,Number,462857,36061
Manhattan,Children Under 18 Years,2006,Number,20141,36061
Manhattan,All Ages,2005,Number,428679,36061
Manhattan,Children Under 18 Years,2005,Number,20724,36061
Manhattan,All Ages,2011,Number,461325,36061
Manhattan,Children Under 18 Years,2011,Number,20384,36061
Battery Park/Tribeca,All Ages,2011,Number,13046.17594,101
Battery Park/Tribeca,Children Under 18 Years,2011,Number,920.764,101
Battery Park/Tribeca,All Ages,2005,Number,11310.45503,101
Battery Park/Tribeca,Children Under 18 Years,2005,Number,380.82476,101
Battery Park/Tribeca,All Ages,2007,Number,13675.36468,101
Battery Park/Tribeca,Children Under 18 Years,2007,Number,451.90128,101
Battery Park/Tribeca,All Ages,2006,Number,15425.62397,101
Battery Park/Tribeca,Children Under 18 Years,2006,Number,398.19005,101
Battery Park/Tribeca,All Ages,2008,Number,14304.95726,101
Battery Park/Tribeca,Children Under 18 Years,2008,Number,860.59127,101
Battery Park/Tribeca,All Ages,2009,Number,13764.21033,101
Battery Park/Tribeca,Children Under 18 Years,2009,Number,289.55605,101
Battery Park/Tribeca,All Ages,2010,Number,13495.25032,101
Battery Park/Tribeca,Children Under 18 Years,2010,Number,324.69047,101
Battery Park/Tribeca,All Ages,2012,Number,14636.51307,101
Battery Park/Tribeca,Children Under 18 Years,2012,Number,678.45769,101
Battery Park/Tribeca,Children Under 18 Years,2014,Number,453.11281,101
Battery Park/Tribeca,All Ages,2013,Number,15732.14146,101
Battery Park/Tribeca,Children Under 18 Years,2013,Number,678.86153,101
Battery Park/Tribeca,All Ages,2014,Number,16077.02412,101
Battery Park/Tribeca,Children Under 18 Years,2015,Number,464.196,101
Battery Park/Tribeca,All Ages,2016,Number,13979.86295,101
Battery Park/Tribeca,All Ages,2015,Number,15820.236,101
Battery Park/Tribeca,Children Under 18 Years,2016,Number,446.65131,101
Battery Park/Tribeca,Children Under 18 Years,2018,Number,193.44121,101
Battery Park/Tribeca,All Ages,2017,Number,13777.53717,101
Battery Park/Tribeca,Children Under 18 Years,2017,Number,132.05694,101
Battery Park/Tribeca,All Ages,2019,Number,15021.78011,101
Battery Park/Tribeca,Children Under 18 Years,2019,Number,456.74741,101
Battery Park/Tribeca,All Ages,2018,Number,13022.34915,101
Battery Park/Tribeca,All Ages,2021,Number,13442.75061,101
Battery Park/Tribeca,Children Under 18 Years,2021,Number,123.57622,101
Battery Park/Tribeca,All Ages,2021,Percent,0.22696,101
Battery Park/Tribeca,All Ages,2019,Percent,0.2261,101
Battery Park/Tribeca,Children Under 18 Years,2021,Percent,0.01764,101
Battery Park/Tribeca,Children Under 18 Years,2017,Percent,0.01628,101
